[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/guerlain.webp → 200 (56ms, 2112B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/guess.webp → 200 (56ms, 4670B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/halloween.webp → 200 (56ms, 1694B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/haute_fragrance_company.webp → 200 (56ms, 2960B)
[2026-08-04T07:47:02.168Z] GET http://localhost:5026/media/brand_images/hermes.webp → 200 (56ms, 5368B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/houbigant.webp → 200 (55ms, 7226B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/hugo_boss.webp → 200 (56ms, 3906B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/initio_parfums_prives.webp → 200 (56ms, 2946B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/issey_miyake.webp → 200 (56ms, 1788B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/jaguar.webp → 200 (56ms, 3808B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/jean_paul_gaultier.webp → 200 (56ms, 5564B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/jimmy_choo.webp → 200 (56ms, 2854B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/jo_malone_london.webp → 200 (57ms, 8896B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/joop.webp → 200 (57ms, 2446B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/juliette_has_a_gun.webp → 200 (57ms, 7438B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/kajal.webp → 200 (57ms, 6014B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/kayali_fragrances.webp → 200 (57ms, 4014B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/kenzo.webp → 200 (57ms, 1904B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/khadlaj_perfumes.webp → 200 (58ms, 4108B)
[2026-08-04T07:47:02.169Z] GET http://localhost:5026/media/brand_images/korloff_paris.webp → 200 (58ms, 8878B)
[2026-08-04T07:47:02.170Z] GET http://localhost:5026/media/brand_images/kylie_jenner.webp → 200 (57ms, 3952B)
[2026-08-04T07:47:02.170Z] GET http://localhost:5026/media/brand_images/l_artisan_parfumeur.webp → 200 (57ms, 2616B)
[2026-08-04T07:47:02.170Z] GET http://localhost:5026/media/brand_images/lalique.webp → 200 (57ms, 2114B)
[2026-08-04T07:47:02.170Z] GET http://localhost:5026/media/brand_images/lancaster.webp → 200 (57ms, 3000B)
[2026-08-04T07:47:02.171Z] GET http://localhost:5026/media/brand_images/lancome.webp → 200 (57ms, 3510B)
[2026-08-04T07:47:02.171Z] GET http://localhost:5026/media/brand_images/lattafa_perfumes.webp → 200 (57ms, 6906B)
[2026-08-04T07:47:02.171Z] GET http://localhost:5026/media/brand_images/laura_biagiotti.webp → 200 (57ms, 3026B)
[2026-08-04T07:47:02.171Z] GET http://localhost:5026/media/brand_images/le_labo.webp → 200 (57ms, 4828B)
[2026-08-04T07:47:02.171Z] GET http://localhost:5026/media/brand_images/liquides_imaginaires.webp → 200 (57ms, 3940B)
[2026-08-04T07:47:02.171Z] GET http://localhost:5026/media/brand_images/loewe.webp → 200 (57ms, 10190B)
[2026-08-04T07:47:02.171Z] GET http://localhost:5026/media/brand_images/lorenzo_pazzaglia.webp → 200 (57ms, 12846B)
[2026-08-04T07:47:02.171Z] GET http://localhost:5026/media/brand_images/louis_vuitton.webp → 200 (57ms, 4010B)
[2026-08-04T07:47:02.171Z] GET http://localhost:5026/media/brand_images/maison_alhambra.webp → 200 (58ms, 18218B)
[2026-08-04T07:47:02.171Z] GET http://localhost:5026/media/brand_images/maison_crivelli.webp → 200 (58ms, 12804B)
[2026-08-04T07:47:02.172Z] GET http://localhost:5026/media/brand_images/maison_francis_kurkdjian.webp → 200 (57ms, 4532B)
[2026-08-04T07:47:02.172Z] GET http://localhost:5026/media/brand_images/maison_martin_margiela.webp → 200 (57ms, 3812B)
[2026-08-04T07:47:02.172Z] GET http://localhost:5026/media/brand_images/mancera.webp → 200 (57ms, 3236B)
[2026-08-04T07:47:02.172Z] GET http://localhost:5026/media/brand_images/marc_jacobs.webp → 200 (57ms, 1472B)
[2026-08-04T07:47:02.172Z] GET http://localhost:5026/media/brand_images/marc_antoine_barrois.webp → 200 (57ms, 2206B)
[2026-08-04T07:47:02.172Z] GET http://localhost:5026/media/brand_images/masque_milano.webp → 200 (57ms, 3626B)
[2026-08-04T07:47:02.172Z] GET http://localhost:5026/media/brand_images/matiere_premiere.webp → 200 (58ms, 3242B)
[2026-08-04T07:47:02.172Z] GET http://localhost:5026/media/brand_images/memo_paris.webp → 200 (58ms, 9792B)
[2026-08-04T07:47:02.172Z] GET http://localhost:5026/media/brand_images/memoize_london.webp → 200 (58ms, 4228B)
[2026-08-04T07:47:02.172Z] GET http://localhost:5026/media/brand_images/michael_kors.webp → 200 (58ms, 50118B)
[2026-08-04T07:47:06.006Z] GET http://localhost:5026/media/brand_images/mizensir.webp → 200 (3ms, 1870B)
[2026-08-04T07:47:06.006Z] GET http://localhost:5026/media/brand_images/montale.webp → 200 (2ms, 2324B)
[2026-08-04T07:47:06.006Z] GET http://localhost:5026/media/brand_images/montblanc.webp → 200 (3ms, 3680B)
[2026-08-04T07:47:06.006Z] GET http://localhost:5026/media/brand_images/moschino.webp → 200 (2ms, 3982B)
[2026-08-04T07:47:06.006Z] GET http://localhost:5026/media/brand_images/mugler.webp → 200 (2ms, 2134B)
[2026-08-04T07:47:32.407Z] GET http://localhost:3000/marka → 200 (34ms, 6562B)
[2026-08-04T07:47:32.445Z] GET http://localhost:3000/_next/static/chunks/src_perfume-comparer-web_src_app_globals_1kowgbp.css → 200 (4ms, ?B)
[2026-08-04T07:47:32.445Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0b4hjvo._.js → 200 (6ms, ?B)
[2026-08-04T07:47:32.446Z] GET http://localhost:3000/_next/static/chunks/01d5_next_dist_compiled_next-devtools_index_07ycjaq.js → 200 (21ms, ?B)
[2026-08-04T07:47:32.446Z] GET http://localhost:3000/_next/static/chunks/01d5_next_dist_compiled_react-dom_0-xmo_9._.js → 200 (18ms, ?B)
[2026-08-04T07:47:32.446Z] GET http://localhost:3000/_next/static/chunks/01d5_next_dist_compiled_react-server-dom-turbopack_1cdelyf._.js → 200 (11ms, ?B)
[2026-08-04T07:47:32.446Z] GET http://localhost:3000/_next/static/chunks/01d5_next_dist_compiled_0z2j911._.js → 200 (20ms, ?B)
[2026-08-04T07:47:32.446Z] GET http://localhost:3000/_next/static/chunks/01d5_next_dist_client_00b162t._.js → 200 (24ms, ?B)
[2026-08-04T07:47:32.446Z] GET http://localhost:3000/_next/static/chunks/01d5_next_dist_1t1vbm1._.js → 200 (21ms, ?B)
